ID,WH_Property,Country,Bioregion,Presence_of_Nom_doc,Nom_n_of_pages,Nom_n_Seagrass,Nom_n_Climate_change,SOC_Most_Recent,SOC_n_of_reports,SOC_n_Climate_change,Abe_Most_recent,Abe_n_of_pages,Abe_n_Seagrass,Abe_n_Climate_change,Management_and_Institutional_Factors,Trasportation_infrastrucutre,Climate_change_and_Severe_weather_events,Pollution,Buildings_and_development,Services_infrastructures,Invasive_species,Biological_resource_use_modification,Social_cultural_uses_of_heritage,Other_human_activities,Sudden_ecological_events,Physical_resource_extraction,Local_Conditions_affecting_physical_fabric,Rank,IUCN_Outlook_Report_2017,Continent
609,French_Austral_Lands_and_Seas,France,6,TRUE,308,0,7,NA,0,NA,2019,10,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA,EUR
608,Galapagos_Islands,Ecuador,2,FALSE,NA,NA,NA,2018,26,0,2001,8,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0,Signficant_Concern,LAC
672,GBR,Australia,5,FALSE,NA,NA,NA,2017,15,5,1981,3,1,0,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,Signficant_Concern,APA
1325,Gough_and_Inaccessible_Islands,UK,6,FALSE,NA,NA,NA,2018,5,0,2004,3,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Signficant_Concern,EUR
1386,"Gulf_of_Porto:_Calanche_of_Piana,_Gulf_of_Girolata,_Scandola_Reserve",France,3,FALSE,NA,NA,NA,2013,2,0,1983,5,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,3,Good_with_some_concern,EUR
653,Ha_Long_Bay,Vietnam,5,FALSE,NA,NA,NA,2014,16,0,2000,5,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,Good_with_some_concern,APA
652,Heard_and_McDonald_Islands,Australia,NA,FALSE,NA,NA,NA,2000,3,0,1997,9,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0,Good,APA
854,High_Coast_/_Kvarken_Archipelago,Finland/Sweden,1,TRUE,527,0,0,NA,0,NA,2006,7,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Good,EUR
1362,"Ibiza,_Biodiversity_and_Culture",Spain,3,TRUE,642,6,0,2011,3,0,1999,7,5,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,Signficant_Concern,EUR
1193,iSimaglisio,South_Africa,6,TRUE,123,0,0,2004,2,0,1999,7,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,Good_with_some_concern,AFR
798,Islands_and_Protected_Areas_of_the_Gulf_of_California,Mexico,4,TRUE,605,3,0,2019,4,0,2005,13,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,3,Signficant_Concern,LAC
577,Kluane_/_Wrangell-St._Elias_/_Glacier_Bay_/_Tatshenshini-Alsek,USA/Canada,4,FALSE,NA,NA,NA,1993,1,0,1994,6,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Good_with_some_concern,NAm
914,Komodo_National_Park,Indonesia,5,FALSE,NA,NA,NA,2002,7,0,1991,7,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,3,Signficant_Concern,APA
1263,Lagoon_of_New_Caledonia,New_Caledonia,5,TRUE,618,0,3,2011,1,7,2008,12,7,7,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,4,Good_with_some_concern,APA
417,Lord_Howe_Islands,Australia,6,FALSE,NA,NA,NA,NA,0,NA,1982,2,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,Good,APA
258,Macquarie_Island,Australia,6,FALSE,NA,NA,NA,2013,4,0,1997,6,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0,Good_with_some_concern,APA
1314,Malpelo_Fauna_and_Flora_Sanctuary,Colombia,2,TRUE,592,0,7,NA,0,NA,2006,10,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Good_with_some_concern,LAC
387,Natural_System_of_Wrangel_Island_Reserve,Russia,NA,TRUE,120,0,1,2019,8,3,2004,9,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0,Signficant_Concern,EUR
1267,New_Zealand_Sub-antartic_Islands,New_Zealand,6,TRUE,215,0,0,NA,0,NA,1998,7,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Good,APA
1195,Ningaloo_Reef,Australia,6,TRUE,360,8,79,NA,0,NA,2011,13,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,Good,APA
898,Ogasawara_Island,Japan,4,TRUE,869,0,8,NA,0,NA,2011,13,0,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Good_with_some_concern,APA
740,Papah?naumoku?kea,USA,5,TRUE,2048,0,186,NA,0,NA,2010,10,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Good,NAm
1023,Peninsula_Valdes,Argentina,6,TRUE,101,0,1,NA,0,NA,1999,7,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Signficant_Concern,LAC
76,Phoenix_Islands,Kirbati,5,TRUE,400,0,66,2015,2,0,2010,9,0,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Good_with_some_concern,APA
1326,Puerto-Princesa,Philippines,5,FALSE,NA,NA,NA,2015,2,0,1999,9,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,3,Good_with_some_concern,APA
72,Rock_Island_Lagoon,Palau,5,FALSE,NA,NA,NA,NA,0,NA,2012,12,2,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,Good_with_some_concern,APA
1603,Sanganeb_Marine_National_Park_and_Dungonab_Bay_–_Mukkawar_Island_Marine_National_Park,Sudan,5,TRUE,138,27,5,2018,1,0,2016,6,4,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,Good_with_some_concern,ARB
937,Shark_Bay,Australia,6,FALSE,NA,NA,NA,2000,4,0,1991,11,8,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,Good,APA
1000,Shiretoko,Japan,4,FALSE,NA,NA,NA,2019,5,11,2005,11,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,Good_with_some_concern,APA
410,Sian_Ka’an,Mexico,2,FALSE,NA,NA,NA,2004,4,0,1987,6,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Good_with_some_concern,LAC
764,Socotra_Archipelago,Yemen,5,TRUE,155,2,2,2019,6,1,2008,12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,3,Signficant_Concern,ARB
1510,St._Kilda,UK,1,FALSE,NA,NA,NA,2002,4,0,2004,8,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,Good,EUR
1,Surtsey,Iceland,1,TRUE,215,0,1,NA,0,NA,2008,8,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Good,EUR
1216,The_Sundarbans,Bangladesh/India,5,FALSE,NA,NA,NA,2019,9,1,1997,12,0,0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,Signficant_Concern,APA
820,Tubbatha_Reefs,Philippines,5,FALSE,NA,NA,NA,2011,8,5,2009,10,1,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,Good_with_some_concern,APA
1138,Ujung_Kulon_National_Park,Indonesia,5,FALSE,NA,NA,NA,NA,0,NA,1991,8,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,Good_with_some_concern,APA
928,Wadden_Sea,Denmark/Germany/Netherlands,1,TRUE,1376,216,79,NA,0,NA,2014,11,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,Good,EUR
1182,West_Norwegian_Fjords,Norway,1,FALSE,NA,NA,NA,NA,0,NA,2005,9,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,Good,EUR
554,Whale_Sanctuary_of_El_Vizcaino,Mexico,4,FALSE,NA,NA,NA,2000,6,0,1993,6,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,Good_with_some_concern,LAC
